Instance,Contractor(s),Date Type,Date,Misconduct Type,Disposition Type,Court Type,Enforcement Agency,Contracting Party,Total Penalties
Stanfill v. SAIC (Breach of Contract),SAIC,Date of Verdict,3/19/1997,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,1250000
U.S. ex rel. Howard v. Caddell Construction et al. (Camp Lejeune Construction Project False Claims),"CBY Design Builders, Caddell Construction Co., Inc.",Date of Second Amended Complaint,7/17/2017,Government Contract Fraud,Pending,Civil,Non-Governmental,Defense - Navy,0
"Galindo, et al. v. Reeves County, et al. (Wrongful Death)",GEO Group,Date of Complaint,12/7/2010,Human Rights,Pending,Civil,Non-Governmental,State/Local,0
Price Inflation (NEXRAD Radar System),Lockheed Martin,Date of Settlement,3/26/1998,Government Contract Fraud,Settlement,Civil,Commerce,Commerce,Undisclosed/Unknown
Stena Rederi v. Austal Ships (Patent Infringement),"Austal USA, LLC",Date of Settlement Announcement,3/31/2011,Intellectual Property,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Hamilton v. Great Lakes Dredge and Dock Company (Workplace Injury),Great Lakes Dredge & Dock Corporation,Date of Verdict,8/21/2009,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,1177691
Bonn v. L-3 Communications Corp. (Naval Air Training Crash),L-3 Communications,Date of Complaint,1/3/2008,Consumer Affairs,Settlement,Civil,Non-Governmental,Defense - Navy,0
Schwann et al. v. FedEx Ground Package System (Misclassifying Workers),FedEx Corporation,Date of Complaint,6/17/2011,Labor,Pending,Civil,Non-Governmental,None,0
Kuwaiti F/A-18 Maintenance False Claims,DynCorp International Inc.,Date of Complaint,9/9/2013,Government Contract Fraud,Pending,Civil,Non-Governmental,Defense - Navy,0
TVA Whistleblower Retaliation,Shaw Group,Date of DOL Decision,9/24/2009,Labor,Judgment Against Defendant,Administrative,Labor,TVA,0
Sexual Harassment of a Female Flight Attendant,Patriot Team,Date of Complaint,8/9/2018,Labor,Pending,Civil,EEOC,None,0
"Underpayment of Wages at Coralville, IA Call Center",General Dynamics,Date of Case Resolution,11/4/2013,Labor,Restitution,N/A,Labor,Multiple Agencies,372588
Defective Zylon Body Armor Vests (False Claims Act),"Armor Holdings, Inc.",Date of Announcement,10/7/2008,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Multiple Agencies,30000000
EEOC v. Raytheon Technical Services (Racial Discrimination),Raytheon Company,Date of Consent Decree,11/5/2004,Labor,Administrative Agreement,Administrative,EEOC,None,165000
Giannetto v. Computer Sciences Corporation (Overtime Pay Class Action),Computer Sciences Corporation,Date of Settlement,4/21/2005,Labor,Settlement,Civil,Non-Governmental,None,24000000
European Commission Mainframe Antitrust Investigation,IBM Corporation,Date of EC Decision,12/13/2011,Antitrust,Settlement,N/A,International,None,0
Rig Gas Detection System Bypassed While Drilling Operations Were Being Conducted,BP P.L.C.,Date of Penalty,2/3/2004,Environment,Fine,Administrative,Interior,None,25000
Quebec Train Derailment - Bankruptcy Trustee Lawsuit,"General Electric, Royal Dutch Shell PLC, World Fuel Services",Date of Complaint,1/30/2014,Health,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Panama Corruption Probe,"Finmeccanica, S.p.A.",Date of Arrest,10/23/2012,Ethics,Pending,Criminal,International,None,0
Failure to Disclose Information During Contract Negotiations,Unisys Corporation,Date of Settlement Announcement,8/2/2001,Government Contract Fraud,Settlement,Civil,Defense - Air Force,Defense - Air Force,1430000
Agreement to Remediate Dewey Loeffel Landfill,General Electric,Date of Settlement Announcement,4/11/2012,Environment,Settlement,N/A,EPA,None,Undisclosed/Unknown
Improper Aircraft Engine Maintenance in Scotland,General Electric,Date of Penalty Announcement,2/19/2010,Other,Fine,Administrative,Transportation,None,1225000
UC Irvine Anesthesia Services False Claims,University of California,Date of Settlement Announcement,3/27/2013,Government Contract Fraud,Settlement,Civil,Non-Governmental,Health and Human Services,1200000
Employee Misclassification,Blackwater USA,Date of IRS Letter,3/30/2007,Tax,Investigative Finding,Administrative,Treasury - IRS,None,0
Medicare Suspension,"Health Net, Inc.",Date of Suspension,11/19/2010,Consumer Affairs,Administrative Agreement,Administrative,Health and Human Services,Health and Human Services,0
Nationwide Vioxx Joint Civil-Criminal Settlement (Civil),"Merck & Co., Inc.",Date of Settlement Announcement,11/22/2011,Health,Settlement,Civil,Multiple Agencies,None,628364000
AIG Europe Limited et al. v. Northrop Grumman (Defective Tugboat Steering Mechanism),Northrop Grumman,Date of Complaint,8/11/2015,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
Failure to Comply With UK Antitrust Regulator Information Request,"Pfizer, Inc.",Date of Penalty Notice,4/12/2016,Other,Fine,Administrative,International,None,14403
Leaking Underground Storage Tanks in Michigan,BP P.L.C.,Date of Announcement,6/1/2007,Environment,Fine,Administrative,State/Local,None,869150
"Spillman v. ANCO Insulations, Inc., et al.",Exxon Mobil,Date of Appellate Opinion,9/9/2008,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,1250000
Louisiana Attorney General Avandia Lawsuit,GlaxoSmithKline,Date of Complaint,2/15/2011,Health,Pending,Civil,State/Local,None,0
Pfaff v. Merck (Propecia Wrongful Death),"Merck & Co., Inc.",Date of Complaint,3/5/2015,Health,Pending,Civil,Non-Governmental,None,0
"Faulty Water Meters in Muskogee, OK",Honeywell International Inc.,Date of Settlement Announcement,5/27/2014,Poor Contract Performance,Settlement,N/A,State/Local,State/Local,300000
"Clovis, California TCP Contamination Lawsuit",Royal Dutch Shell PLC,Date of Verdict,12/21/2016,Health,Judgment Against Defendant,Civil,State/Local,None,21897283
Elder v. DRS Technologies (Wrongful Discharge),"DRS Technologies, Inc.",Date of Complaint,5/29/2013,Labor,Pending,Civil,Non-Governmental,Defense - Army,0
Sexual Harassment at the Central Arizona Correctional Facility,GEO Group,Date of Complaint,9/24/2015,Labor,Pending,Civil,EEOC,State/Local,0
Hawaiian Telcom Contract Dispute,BearingPoint Inc.,Date of Settlement,2/8/2007,Poor Contract Performance,Settlement,N/A,Non-Governmental,Non-Governmental,81600000
Broadband/Video/Wireless Market Collusion,"Verizon Communications, Inc.",Date of Complaint,8/16/2012,Antitrust,Settlement,Civil,Multiple Agencies,None,0
U.S. v. Zeringue (Insider Trading),Shaw Group,Date of Plea,6/27/2014,Securities,Pleaded Guilty,Criminal,Justice,None,18400
Nigeria LNG Contracts Bribery (UK Prosecution),Halliburton,Date of Settlement Announcement,2/16/2011,Ethics,Settlement,Criminal,International,None,6246716
Beryllium Exposure Fine,Lawrence Livermore Nat'l Security,Date of Consent Order,10/29/2010,Labor,Fine,Administrative,Energy,Energy,200000
Bates v. Health Net (Policy Rescission),"Health Net, Inc.",Date of Arbitration Decision,2/21/2008,Health,Judgment Against Defendant,Civil,Non-Governmental,Non-Governmental,9368117
Court Martial of a Civilian Contractor,L-3 Communications,Date of Court Martial,6/22/2008,Other,Pleaded Guilty,Criminal,Defense - Army,Defense - Army,0
Intelligence Contract Labor Mischarging (Oct. - Dec. 2011),"CACI International, Inc.",Date of ICIG Report,1/2/2013,Government Contract Fraud,Investigative Finding,N/A,ICIG,ODNI,Undisclosed/Unknown
Guo v. Novartis (Whistleblower Retaliation),Novartis AG,Date of Complaint,6/10/2014,Labor,Pending,Civil,Non-Governmental,None,0
Risinger v. SOC LLC (Violations of Wage and Hour Laws),Consolidated Nuclear Security LLC,Date of Complaint,12/9/2011,Labor,Pending,Civil,Non-Governmental,None,0
United States v. US Bioservices Corp. (Exjade Kickbacks),AmerisourceBergen,Date of Settlement Announcement,8/22/2017,Ethics,Settlement,Civil,Multiple Agencies,None,13400000
Mayo v. KBR (Sexual Assault),KBR,Date of Filing,6/2/2010,Labor,Pending,Civil,Non-Governmental,Defense - Army,0
Failure to Test Oil Low Level Sensor,BP P.L.C.,Date of Penalty,9/16/2002,Environment,Fine,Administrative,Interior,None,39000
Falsification of Inspection Checklists and Installation of Nonconforming Parts,Northrop Grumman,Date of Report,3/1/1999,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Multiple Agencies,500000
U.S. v. Chodan (Nigeria LNG Contracts Bribery),KBR,Date of Indictment,2/17/2009,Ethics,Pleaded Guilty,Criminal,Justice,International,746885
Metro Container Superfund Site Cleanup,"BP P.L.C., ChevronTexaco Corporation, Exxon Mobil",Date of Settlement Announcement,10/21/2015,Environment,Settlement,N/A,EPA,None,Undisclosed/Unknown
July 2011 Silvertip Pipeline Spill,Exxon Mobil,Date of Settlement,1/19/2012,Environment,Settlement,Administrative,State/Local,None,2360391
In re General Motors ERISA Litigation,General Motors Corp.,Date of Settlement Announcement,1/15/2008,Labor,Settlement,Civil,Non-Governmental,None,37500000
U.S. v. Novartis (Speaker Program False Claims),Novartis AG,Date of Government Complaint,4/26/2013,Ethics,Pending,Civil,Justice,Health and Human Services,0
Alleged False Claims in Connection With a Hanford Site Subcontract,Lockheed Martin,Date of Settlement Announcement,8/7/2018,Government Contract Fraud,Settlement,Civil,Justice,Energy,124440
Accidental Exposure to Radioactive Material at Hanford,"CH2M Hill Companies, Ltd.",Date of Enforcement Letter,4/25/2014,Labor,Investigative Finding,N/A,Energy,Energy,0
U.S. ex rel. Faulkner v. Huntington Ingalls Industries (Pascagoula Shipyard False Billing),Huntington Ingalls Industries,Date of Settlement,8/9/2017,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Multiple Agencies,9354178
Breach of Contract,Stewart & Stevenson Services,Date of Settlement Agreement,1/1/1997,Government Contract Fraud,Settlement,Civil,Defense - Air Force,Defense - Air Force,7000000
DEA Suspension of Distribution License,Court Square Capital Partners,Date of Suspension Announcement,6/15/2010,Health,Administrative Agreement,Administrative,Justice,None,0
"Castillon, et al. v. CCA (Assault at Idaho CC)",Corrections Corporation of America,Date of Original Complaint,11/9/2012,Human Rights,Judgment Against Defendant,Civil,Non-Governmental,State/Local,0
Hanford Time Card Fraud Prosecutions,"CH2M Hill Companies, Ltd.",Date of Sentencing,4/23/2015,Government Contract Fraud,Pleaded Guilty,Criminal,Justice,Energy,655966
Arizona Drug Prices Lawsuit,McKesson,Date of Complaint,9/14/2012,Antitrust,Pending,Civil,State/Local,None,0
"Bogota, Colombia Forced Landing Lawsuit",United Technologies Corporation,Date of Announcement,7/17/2009,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
Omran Consulting Construction & Engineering Co. v. DynCorp (Breach of Contract),DynCorp International Inc.,Date of Complaint,8/12/2013,Poor Contract Performance,Settlement,Civil,Non-Governmental,Non-Governmental,Undisclosed/Unknown
Zofran Products Liability Litigation,"GlaxoSmithKline, Novartis AG",Date of Complaint,5/31/2016,Health,Pending,Civil,Non-Governmental,None,0
HIV/AIDS Mail-Order Medications Lawsuit,UnitedHealth Group,Date of Settlement,3/19/2014,Consumer Affairs,Settlement,Civil,Non-Governmental,None,0
Hunters Point Naval Shipyard Cleanup - NRC Investigation,"Tetra Tech, Inc.",Date of Fine,7/25/2016,Environment,Settlement,Administrative,NRC,Defense - Navy,0
Failure to Supply Adequate Equipment,Unisys Corporation,Date of Settlement Announcement,12/3/1998,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Multiple Agencies,2250000
Levine v. Wyeth,Wyeth,Date of Supreme Court Decision,3/4/2009,Health,Judgment Against Defendant,Civil,Non-Governmental,None,6774000
Littoral Combat Ship Contract Credit Card Fraud,ARINC,Date of Pleas,1/5/2011,Government Contract Fraud,Pleaded Guilty,Criminal,Defense - Navy,Defense - Navy,129978
"Data Theft Reimbursement / Billing Irregularity (Nashville, TN)",G4S PLC,Date of First Letter to Wackenhut,1/4/2008,Poor Contract Performance,Settlement,Civil,State/Local,State/Local,422000
Organon National Medicaid Settlement,"Merck & Co., Inc.",Date of Settlement Announcement,10/15/2014,Ethics,Settlement,Civil,Multiple Agencies,None,31000000
Hyatt v. The GEO Group (South Bay C.F. Assault),GEO Group,Date of Final Judgment,9/25/2012,Human Rights,Judgment Against Defendant,Civil,Non-Governmental,State/Local,1228242
"Jarrar v. Harris, et al. (Ethnic Discrimination)",Patriot Team,Date of Settlement Announcement,1/5/2009,Human Rights,Settlement,Civil,Non-Governmental,None,240000
Crowley County Correctional Facility Riot,Corrections Corporation of America,Date of Filing - approx.,2/1/2006,Human Rights,Settlement,Civil,Non-Governmental,State/Local,600000
Federal Drug Reporting Violations,McKesson,Date of Announcement,5/2/2008,Health,Settlement,Civil,Justice,None,13250000
Inoperable Automatic Backup Accumulator Charging System,ChevronTexaco Corporation,Date of Penalty,12/20/2002,Environment,Fine,Administrative,Interior,None,30000
Texas Air Quality Violations,Valero Energy Corp.,Date of Penalty,8/23/2006,Environment,Fine,Administrative,State/Local,None,700000
Back Pay Due Employees at Independence National Historical Park,G4S PLC,Date of Press Release,8/21/2007,Labor,Restitution,Administrative,Labor,None,Undisclosed/Unknown
Old GM Environmental Liabilities Settlement,General Motors Corp.,Date of Settlement Announcement,10/20/2010,Environment,Settlement,Civil,EPA,None,773000000
McMahon v. General Dynamics (Defective M2 Machine Gun),General Dynamics,Date of Complaint,6/29/2012,Consumer Affairs,Settlement,Civil,Non-Governmental,Defense - Army,Undisclosed/Unknown
"U.S. ex rel. Brunson, et al. v. Bechtel National, et al. (False Claims at Hanford Waste Treatment Plant)","AECOM Technology Corporation, Bechtel Corporation",Date of Settlement Announcement,11/23/2016,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Energy,67500000
San Diego Marine Terminal Railway Facility Cleanup,"General Dynamics, Lockheed Martin",Date of Complaint,8/11/2016,Environment,Settlement,Civil,State/Local,None,850000
Smith v. SpaceX (Labor Law Violations),SpaceX,Date of Complaint,8/8/2014,Labor,Pending,Civil,Non-Governmental,None,0
Illegally Restricting the U.K. Seroxat Market,GlaxoSmithKline,Date of Fine Announcement,2/12/2016,Antitrust,Fine,Administrative,International,None,53724533
Unauthorized Discharges of Excessive Carbon Emissions (Virginia),Honeywell International Inc.,Date of Consent Order,9/29/2005,Environment,Settlement,Civil,State/Local,None,2400
United States ex rel. Ferner v. SAIC (False Claims on GSA Blanket Purchase Agreement),SAIC,Date of Settlement Announcement,7/3/2013,Government Contract Fraud,Settlement,Civil,Justice,GSA,5750000
Nicholson v. Halliburton Energy Services (Wrongful Death),Halliburton,Date of Complaint,7/17/2008,Labor,Settlement,Civil,Non-Governmental,None,765679
Iraq Police Training Contract - Criminal Prosecution,DynCorp International Inc.,Date of Sentencing (Struble),6/9/2017,Government Contract Fraud,Pleaded Guilty,Criminal,Justice,State Dept.,3466125
Arizona Insurance Law Violations,"Health Net, Inc.",Date of Fines,2/10/2010,Consumer Affairs,Fine,Administrative,State/Local,None,236500
Radioactive Contamination of Workers (Savannah River Site),Westinghouse Electric Corp.,Date of PNOV,7/18/2000,Labor,Fine,Administrative,Energy,Energy,220000
Hensley vs. Computer Sciences Corporation (Colossus Software Litigation),Computer Sciences Corporation,Date of Filing,2/7/2005,Consumer Affairs,Settlement,Civil,Non-Governmental,Non-Governmental,Undisclosed/Unknown
"Citgo Petroleum Corporation, et al. v.  McDermott International, Inc, et al. (Damage to Property)","McDermott, Inc.",Date of Court Approval - approx.,12/1/2005,Consumer Affairs,Settlement,Civil,Non-Governmental,None,42500000
Drug Switching - New York Settlement,Express Scripts Holding Company,Date of Settlement Announcement,7/29/2008,Consumer Affairs,Settlement,Civil,State/Local,None,Undisclosed/Unknown
"Air Pollution National Settlement (CA, HI, MS and UT)",ChevronTexaco Corporation,Date of Announcement,10/16/2003,Environment,Settlement,Civil,EPA,None,281700000
Walp v. University of California (Wrongful Termination),University of California,Date of Announcement,8/21/2003,Labor,Settlement,Civil,Non-Governmental,Energy,930000
DPP v. Esso Australia Party Ltd. (Occupational Health and Safety Violations),Exxon Mobil,Date of Verdict,7/30/2001,Labor,Found Guilty,Criminal,International,None,1000000
Philippines Excise Duties Lawsuit,Royal Dutch Shell PLC,Date of Media Account,10/14/2010,Import/Export,Pending,Administrative,International,None,0
Unauthorized Re-Exports to Sudan,Exxon Mobil,Date of Settlement,8/9/2005,Import/Export,Settlement,Civil,Commerce,None,49500
"PICA v. Hewlett-Packard (Misappropriation of Trade Secrets, Defamation)",Hewlett-Packard Company,Date of Verdict,10/27/2014,Intellectual Property,Judgment Against Defendant,Civil,Non-Governmental,None,8200000
Machine Tools Export Violation (China),Boeing Company,Date of Settlement,11/14/2001,Import/Export,Fine,Administrative,Commerce,None,2120000
Multistate Market Conduct Investigation,Humana,Date of Settlement Announcement,2/14/2014,Consumer Affairs,Settlement,Administrative,State/Local,None,4500000
Miller v. Raytheon (Age Discrimination),Raytheon Company,Date of Complaint,3/6/2009,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,1492795
Corpus Christi Oil Spill,Valero Energy Corp.,Date of Announcement,6/10/2008,Environment,Fine,Civil,EPA,None,1950000
Darden v. Halliburton Energy Services (Sexual Discrimination),Halliburton,Date of Filing,12/21/2010,Labor,Pending,Civil,Non-Governmental,None,0
California City CC Unpaid Wages and Benefits,Corrections Corporation of America,Date of Settlement Announcement,8/19/2014,Labor,Restitution,Administrative,Labor,Justice,8071861
Roshto v. Transocean Ltd (April 2010 Oil Rig Explosion),BP P.L.C.,Date of Filing,4/21/2010,Labor,Pending,Civil,Non-Governmental,None,0
Inadequate Maintenance of Platform Emergency Equipment,ChevronTexaco Corporation,Date of Penalty,10/30/2006,Labor,Fine,Administrative,Interior,None,30000
Scovil et al. v. FedEx (Misclassifying Workers),FedEx Corporation,Date of Complaint,12/16/2010,Labor,Settlement,Civil,Non-Governmental,None,5800000
Fagan v. AmerisourceBergen Corp. (Counterfeit Drugs),AmerisourceBergen,Date of Settlement,2/24/2006,Health,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
"Smith v. URS Corp. (Racial Discrimination, Retaliation)",URS Corporation,Date of Complaint,8/26/2011,Labor,Pending,Civil,Non-Governmental,Defense - Army,0
Physician Corporation of America Securities Litigation (False Statements),Humana,Date of Settlement Approval,11/26/2003,Securities,Settlement,Civil,Non-Governmental,None,10200000
Chinese Subsidiary Pay-To-Prescribe,Novartis AG,Date of SEC Order,3/23/2016,Ethics,Settlement,Administrative,SEC,None,25050104
False Marketing of Negative Pressure Wound Treatment Devices,"Cardinal Health, Inc.",Date of Settlement Announcement,6/29/2017,Government Contract Fraud,Settlement,Civil,Justice,Health and Human Services,2715000
Environmental Remediation of Valmont Butte Property,Honeywell International Inc.,Date of Settlement,10/4/2011,Environment,Settlement,N/A,Multiple Agencies,None,350000
Improper Reporting of Test Results,"DRS Technologies, Inc.",Date of Announcement,5/17/2002,Government Contract Fraud,Pleaded Guilty,Criminal,Defense - Army,Defense - Army,2500000
Overcharging on Food Contracts (Criminal Case),Agility,Date of Indictment,2/9/2010,Government Contract Fraud,Pleaded Guilty,Criminal,Multiple Agencies,Defense - Army,125
Yslava v. Hughes Aircraft (Drinking Water Contamination),Raytheon Company,Date of Settlement,2/8/2000,Health,Settlement,Civil,Non-Governmental,None,13000000
Misrepresentation of Retiree Benefits,Unisys Corporation,Date of Memorandum and Order,7/16/2007,Labor,Restitution,Civil,Non-Governmental,None,Undisclosed/Unknown
Violation of Petroleum Product Storage Regulations,"Textron, Inc.",Date of Preliminary Notice of Violation,4/7/2004,Environment,Fine,Administrative,State/Local,None,8440
"Safety Violations (Port Arthur, TX)",Valero Energy Corp.,Date of Announcement,4/15/2008,Labor,Fine,Administrative,Labor - OSHA,None,101750
Grabowski v. Wackenhut Services LLC (Unpaid Wages),G4S PLC,Date of Complaint,8/29/2008,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
"Spano, et al. v. Boeing (Mismanagement of 401(k) Plan)",Boeing Company,Date of Settlement Announcement,8/26/2015,Labor,Settlement,Civil,Non-Governmental,None,57000000
Cox v. Radian (Air and Waste Regulation Violations),URS Corporation,Date of Settlement,6/23/2003,Environment,Settlement,Civil,State/Local,None,550000
Autonomy Corp. Acquisition - Shareholder Derivative Litigation,Hewlett-Packard Company,Date of Settlement Announcement,6/30/2014,Securities,Settlement,Civil,Non-Governmental,None,0
Policy Rescission (L.A. City Attorney Lawsuit),"Health Net, Inc.",Date of Filing,2/20/2008,Consumer Affairs,Settlement,Civil,State/Local,None,8800000
"SEC v. Scoppetuolo, et al. (Insider Trading)",World Fuel Services,Date of Complaint,2/16/2010,Securities,Settlement,Civil,SEC,None,423225
U.S. ex rel. Dye v. ATK Launch Systems (Defective Battlefield Flares),Alliant Techsystems Inc.,Date of Settlement Announcement,4/23/2012,Government Contract Fraud,Settlement,Civil,Defense - General,Defense - General,36967160
"Water Contamination (Tucson, AZ)",Raytheon Company,Date of Press Release,7/13/2007,Environment,Administrative Agreement,Administrative,EPA,Defense - Air Force,0
Diet Drug Litigation,Wyeth,Date of Announcement,10/7/1999,Health,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
U.S. ex rel. Bonzani v. United Technologies (Fighter Jet Engine Production False Claims),United Technologies Corporation,Date of Original Complaint,10/18/2016,Government Contract Fraud,Pending,Civil,Non-Governmental,Defense - Air Force,0
EPA Region VIII vs. Ultramar Diamond Shamrock Corporation (Underground Storage Tank Violations),Valero Energy Corp.,Date of Settlement - approximate,11/1/2001,Environment,Fine,Administrative,EPA,None,126764
2007 PCAOB Audit,Deloitte LLP,Date of Report,5/19/2008,Other,Investigative Finding,N/A,PCAOB,None,0
"U.S. ex rel. Cody v. ManTech International (False Claims, Retaliation)",ManTech International Corp.,Date of Verdict,11/18/2016,Labor,Judgment Against Defendant,Civil,Non-Governmental,Defense - Army,2150000
"Lorain County, Ohio v. Purdue Phrama et al. (Prescription Opioid Epidemic)","AmerisourceBergen, Cardinal Health, Inc., McKesson",Date of Complaint,12/13/2017,Health,Pending,Civil,State/Local,None,0
Vitamin Cartel - Australian Class Action,Sanofi-Aventis,Date of Settlement Approval,10/27/2006,Health,Settlement,Civil,Non-Governmental,International,Undisclosed/Unknown
Toulouse Fertilizer Plant Explosion,Total S.A.,Date of Judgment,9/24/2012,Health,Found Guilty,Criminal,International,None,355000
Panalpina Group Foreign Bribery: SEC Investigation,Royal Dutch Shell PLC,Date of Settlement Announcement,11/4/2010,Ethics,Settlement,Civil,SEC,None,18149459
State of Washington v. GEO Group (Northwest Detention Center Minimum Wage Violations),GEO Group,Date of Complaint,9/20/2017,Human Rights,Pending,Civil,State/Local,Homeland Security,0
DeKort v. Integrated Coast Guard Systems,Lockheed Martin,Date of Filing,2/10/2009,Government Contract Fraud,Settlement,Civil,Non-Governmental,Homeland Security,Undisclosed/Unknown
Misrepresentation of Test Procedures,General Electric,Date of Settlement,1/10/1997,Government Contract Fraud,Settlement,Civil,Defense - General,Defense - General,950000
Violations of CFC and Asbestos Emissions Laws (Idaho National Engineering and Environmental Lab),Bechtel Corporation,Date of Fine,10/29/2001,Environment,Fine,Administrative,EPA,Energy,30383
Overbilling on Counter Narco-terrorism Contract,"DynCorp International Inc., Northrop Grumman",Date of Report,5/13/2014,Cost/Labor Mischarge,Investigative Finding,N/A,Defense - General,Defense - Army,0
Bribery by Chinese Subsidiary,ITT Industries,Date of Announcement,2/11/2009,Ethics,Settlement,Civil,SEC,None,1678650
Ross et al. v. Lockheed Martin (Racial Discrimination),Lockheed Martin,Date of Complaint,12/23/2016,Labor,Pending,Civil,Non-Governmental,None,0
NC Open Burning Violation,"Phillips & Jordan, Inc.",Date of Announcement,7/18/2002,Environment,Fine,Civil,State/Local,None,22500
Albert v. DRS Technologies (Gender Discrimination and Retaliation),"DRS Technologies, Inc.",Date of Filing,7/30/2010,Labor,Pending,Civil,Non-Governmental,Defense - General,0
Hanford Nuclear Reservation Litigation,General Electric,"",6/23/2006,Health,Judgment Against Defendant,Civil,Non-Governmental,Energy,227508
Retaliatory Termination,Patriot Team,Date of Order Announcement,2/23/2009,Labor,Fine,Administrative,Labor - OSHA,None,442635
"Hennigan v. General Electric, et al. (Defective Microwave Ovens)",General Electric,Date of Filing,5/19/2009,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
Puerto Rico Drug Manufacturing Facility Settlement,GlaxoSmithKline,Date of Settlement Announcement,10/26/2010,Health,Pleaded Guilty,Criminal,Multiple Agencies,None,750000000
Kulluk Permit Violations,Royal Dutch Shell PLC,Date of Notice of Violation,1/10/2013,Environment,Investigative Finding,N/A,EPA,None,0
McKnight v. CCA (Jail Assault),Corrections Corporation of America,Date of Settlement,12/13/2002,Consumer Affairs,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
"Sacred Heart Health System, et al. v. Humana Military Healthcare Services (Breach of Contract, Fraud)",Humana,Date of Original Complaint,2/5/2007,Government Contract Fraud,Settlement,Civil,Non-Governmental,Non-Governmental,Undisclosed/Unknown
Hazardous Materials Violations at Bradley International Airport,FedEx Corporation,Date of Enforcement Letter,6/13/2011,Health,Fine,Administrative,Transportation,None,689800
Edwards v. Southwestern Bell Telephone (Racial Discrimination),AT&T Inc.,Date of Announcement,7/31/2008,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,411339
U.S. ex rel. Wright v. Chevron (Underpayment of Natural Gas Royalties),ChevronTexaco Corporation,Date of Announcement,12/23/2009,Government Contract Fraud,Settlement,Civil,Interior,Interior,45569585
Rapamune Off-Label Promotion - Multi-State Settlement,"Pfizer, Inc.",Date of Settlement Announcement,8/6/2014,Health,Settlement,Civil,State/Local,None,35000000
U.S. v. Williams (FEMA Home Elevation Grant Program Bribery),Shaw Group,Date of Plea Announcement,2/23/2012,Government Contract Fraud,Pleaded Guilty,Criminal,Justice,Homeland Security,0
"Kelii, et al. v. VSE Corporation, et al. (April 2011 Hawaii Fireworks Explosion)",VSE Corporation,Date of Complaint,5/24/2012,Labor,Pending,Civil,Non-Governmental,Treasury,0
Unfair Working Conditions for LOGCAP Firefighters,G4S PLC,Date of Complaint,12/2/2011,Labor,Pending,Civil,Non-Governmental,Defense - Army,0
EEOC v. The Boeing Company (Sexual Harassment and Retaliation),Boeing Company,Date of Settlement,2/3/2010,Labor,Settlement,Civil,EEOC,Defense - Army,100000
"Bogota, Colombia Forced Landing Lawsuit",Boeing Company,Date of Announcement,7/17/2009,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
"Safety Violation at Wilmington, MA Distribution Center",FedEx Corporation,Date of Fine Announcement,10/2/2014,Labor,Fine,Administrative,Labor - OSHA,None,44000
Breach of Contract and Negligence,General Motors Corp.,Date of Settlement Approval,12/19/1996,Consumer Affairs,Settlement,Civil,Non-Governmental,Non-Governmental,32000000
Tuten v. United Airlines (USERRA Claims),Patriot Team,Date of Settlement,8/14/2013,Labor,Settlement,Civil,Non-Governmental,None,6150000
Overbilling on the CR2 and S3 Contracts,Lockheed Martin,Date of Settlement Announcement,12/19/2014,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Defense - Army,27500000
"Inspection of McPherson, Kansas, Hospira Plant","Pfizer, Inc.",Date of Findings,8/8/2018,Health,Investigative Finding,N/A,Health and Human Services,None,0
Riddle v. DynCorp (Retaliation),DynCorp International Inc.,Date of Complaint,3/18/2010,Labor,Pending,Civil,Non-Governmental,State Dept.,0
Hicks v. Maersk (Somali Pirate Incident),AP Moller-Maersk A/S,Date of Filing,4/27/2009,Labor,Pending,Civil,Non-Governmental,None,0
Sept. 2009 OSHA Inspection of Ohio Refinery,BP P.L.C.,Date of Announcement,3/8/2010,Labor,Fine,Administrative,Labor - OSHA,None,3042000
Onondaga Lake Superfund Cleanup Costs,Honeywell International Inc.,Date of Consent Decree,12/14/2017,Environment,Settlement,Civil,Multiple Agencies,None,1050000
Bryson v. Fluor (Disability Discrimination),Fluor Corporation,Date of Original Complaint,8/16/2013,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Racial Discrimination and Harassment,FedEx Corporation,"",3/23/2007,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,12400000
